Company,Website,Industry,Product/service,Business type,Employee count,Revenue,Year founded,BBB rating,Street,City,State,Company phone,Company linkedin,Owner's First Name,Owner's  Last name,Owner's title,Owner's linkedin,Owner's  phone,Owner's  email,Source,Converted
Company_11,www.company_11.com,Healthcare,Software,B2C,293,52541466,1954,A,589 Main St,City_41,CA,-9752,https://linkedin.com/company/company_11,First217,Last936,Marketing Director,https://linkedin.com/in/first217last936,-5921,first217.last936@company_11.com,Website,1
Company_12,www.company_12.com,Education,Consulting,B2C,411,54179037,1986,A+,198 Main St,City_44,IL,-10949,https://linkedin.com/company/company_12,First147,Last272,CTO,https://linkedin.com/in/first147last272,-10593,first147.last272@company_12.com,Ad Campaign,0
Company_13,www.company_13.com,Retail,Financial Services,B2C,1797,12896932,1963,B,970 Main St,City_27,IL,-6931,https://linkedin.com/company/company_13,First920,Last598,VP Sales,https://linkedin.com/in/first920last598,-9644,first920.last598@company_13.com,Cold Email,1
Company_14,www.company_14.com,Healthcare,Consulting,B2C,1603,89278975,2001,A+,195 Main St,City_4,CA,-9990,https://linkedin.com/company/company_14,First882,Last113,CTO,https://linkedin.com/in/first882last113,-3855,first882.last113@company_14.com,Website,0
Company_15,www.company_15.com,Healthcare,Consumer Goods,B2C,1064,23093420,1981,A,938 Main St,City_59,IL,-7441,https://linkedin.com/company/company_15,First391,Last611,VP Sales,https://linkedin.com/in/first391last611,-5150,first391.last611@company_15.com,Webinar,1
Company_16,www.company_16.com,Education,Financial Services,B2B,1648,44166131,1979,A,430 Main St,City_92,CA,-9293,https://linkedin.com/company/company_16,First699,Last907,Marketing Director,https://linkedin.com/in/first699last907,-3265,first699.last907@company_16.com,Cold Email,1
Company_17,www.company_17.com,Retail,Medical Equipment,B2B,632,37976684,1952,A+,458 Main St,City_70,NY,-6477,https://linkedin.com/company/company_17,First465,Last4,Founder,https://linkedin.com/in/first465last4,-2762,first465.last4@company_17.com,Webinar,0
Company_18,www.company_18.com,Healthcare,Financial Services,B2B,1402,161087,2001,C,212 Main St,City_62,TX,-3427,https://linkedin.com/company/company_18,First862,Last655,Marketing Director,https://linkedin.com/in/first862last655,-10068,first862.last655@company_18.com,Webinar,0
Company_19,www.company_19.com,Healthcare,Consulting,B2C,1653,24310512,2008,B,212 Main St,City_2,FL,-2913,https://linkedin.com/company/company_19,First977,Last798,Marketing Director,https://linkedin.com/in/first977last798,-8686,first977.last798@company_19.com,Referral,1
Company_20,www.company_20.com,Manufacturing,Medical Equipment,B2C,1158,89017675,1981,A+,809 Main St,City_32,TX,-5790,https://linkedin.com/company/company_20,First900,Last852,Founder,https://linkedin.com/in/first900last852,-5802,first900.last852@company_20.com,Ad Campaign,1
Company_21,www.company_21.com,Technology,Consulting,B2B,298,6759908,2019,A+,610 Main St,City_16,IL,-6289,https://linkedin.com/company/company_21,First836,Last71,Marketing Director,https://linkedin.com/in/first836last71,-2646,first836.last71@company_21.com,Ad Campaign,0
Company_22,www.company_22.com,Healthcare,Consumer Goods,B2C,1960,71344178,2016,C,610 Main St,City_19,NY,-3943,https://linkedin.com/company/company_22,First272,Last541,Marketing Director,https://linkedin.com/in/first272last541,-5482,first272.last541@company_22.com,LinkedIn,0
Company_23,www.company_23.com,Healthcare,Financial Services,B2B,555,53877024,1960,B,572 Main St,City_50,IL,-5824,https://linkedin.com/company/company_23,First688,Last666,Founder,https://linkedin.com/in/first688last666,-2368,first688.last666@company_23.com,LinkedIn,0
Company_24,www.company_24.com,Manufacturing,Online Courses,B2B,350,57731343,2009,A+,980 Main St,City_2,CA,-6946,https://linkedin.com/company/company_24,First347,Last22,Marketing Director,https://linkedin.com/in/first347last22,-8552,first347.last22@company_24.com,Webinar,1
Company_25,www.company_25.com,Healthcare,Financial Services,B2B,1127,55323954,1997,A+,307 Main St,City_3,CA,-7950,https://linkedin.com/company/company_25,First235,Last70,CEO,https://linkedin.com/in/first235last70,-3638,first235.last70@company_25.com,Cold Email,1
Company_26,www.company_26.com,Technology,Financial Services,B2B,1450,54810375,1974,A+,960 Main St,City_18,IL,-7404,https://linkedin.com/company/company_26,First220,Last553,CTO,https://linkedin.com/in/first220last553,-3681,first220.last553@company_26.com,Website,1
Company_27,www.company_27.com,Manufacturing,Financial Services,B2C,165,77733091,1982,A+,497 Main St,City_21,IL,-8532,https://linkedin.com/company/company_27,First827,Last417,CTO,https://linkedin.com/in/first827last417,-2942,first827.last417@company_27.com,Referral,0
Company_28,www.company_28.com,Technology,Consumer Goods,B2C,1061,48591183,2008,A+,982 Main St,City_86,IL,-8487,https://linkedin.com/company/company_28,First479,Last885,CEO,https://linkedin.com/in/first479last885,-5341,first479.last885@company_28.com,Website,1
Company_29,www.company_29.com,Retail,Consumer Goods,B2B,1804,26465210,1976,A+,325 Main St,City_21,TX,-9626,https://linkedin.com/company/company_29,First820,Last883,CEO,https://linkedin.com/in/first820last883,-10127,first820.last883@company_29.com,Ad Campaign,1
Company_30,www.company_30.com,Healthcare,Consulting,B2C,1544,79788895,1998,A+,611 Main St,City_17,NY,-3794,https://linkedin.com/company/company_30,First286,Last474,CTO,https://linkedin.com/in/first286last474,-5164,first286.last474@company_30.com,Referral,0
Company_31,www.company_31.com,Finance,Financial Services,B2B,1920,66485640,1986,A+,379 Main St,City_93,FL,-2602,https://linkedin.com/company/company_31,First857,Last16,CEO,https://linkedin.com/in/first857last16,-7084,first857.last16@company_31.com,Ad Campaign,1
Company_32,www.company_32.com,Healthcare,Online Courses,B2C,257,43469428,1981,A,260 Main St,City_67,IL,-3159,https://linkedin.com/company/company_32,First925,Last61,CTO,https://linkedin.com/in/first925last61,-3067,first925.last61@company_32.com,LinkedIn,0
Company_33,www.company_33.com,Technology,Online Courses,B2C,690,14816695,1981,C,953 Main St,City_23,IL,-3400,https://linkedin.com/company/company_33,First293,Last434,Marketing Director,https://linkedin.com/in/first293last434,-10182,first293.last434@company_33.com,Website,1
Company_34,www.company_34.com,Retail,Online Courses,B2B,250,67707727,1988,A+,576 Main St,City_42,NY,-8480,https://linkedin.com/company/company_34,First992,Last60,Marketing Director,https://linkedin.com/in/first992last60,-11139,first992.last60@company_34.com,Website,1
Company_35,www.company_35.com,Manufacturing,Software,B2C,907,6612440,1985,A+,784 Main St,City_20,FL,-8949,https://linkedin.com/company/company_35,First489,Last515,Marketing Director,https://linkedin.com/in/first489last515,-8253,first489.last515@company_35.com,Ad Campaign,0
Company_36,www.company_36.com,Technology,Financial Services,B2B,1120,70386689,2015,C,899 Main St,City_87,CA,-5871,https://linkedin.com/company/company_36,First610,Last70,CTO,https://linkedin.com/in/first610last70,-3110,first610.last70@company_36.com,LinkedIn,0
Company_37,www.company_37.com,Technology,Financial Services,B2B,574,1179600,2001,A,781 Main St,City_70,CA,-4525,https://linkedin.com/company/company_37,First635,Last84,VP Sales,https://linkedin.com/in/first635last84,-5198,first635.last84@company_37.com,Website,0
Company_38,www.company_38.com,Manufacturing,Financial Services,B2C,1648,84990726,2017,C,873 Main St,City_96,NY,-6573,https://linkedin.com/company/company_38,First686,Last734,Founder,https://linkedin.com/in/first686last734,-9966,first686.last734@company_38.com,Ad Campaign,0
Company_39,www.company_39.com,Education,Online Courses,B2B,273,3479569,1979,A,758 Main St,City_17,TX,-7325,https://linkedin.com/company/company_39,First469,Last324,CEO,https://linkedin.com/in/first469last324,-10592,first469.last324@company_39.com,Referral,1
Company_40,www.company_40.com,Finance,Financial Services,B2B,1155,36496424,1961,A+,740 Main St,City_58,NY,-10149,https://linkedin.com/company/company_40,First519,Last272,CTO,https://linkedin.com/in/first519last272,-5547,first519.last272@company_40.com,Cold Email,0
Company_41,www.company_41.com,Technology,Consulting,B2C,1913,57096736,1965,A+,288 Main St,City_64,IL,-9229,https://linkedin.com/company/company_41,First854,Last557,Founder,https://linkedin.com/in/first854last557,-5769,first854.last557@company_41.com,Webinar,1
Company_42,www.company_42.com,Retail,Financial Services,B2B,1001,61919576,1978,A,319 Main St,City_69,FL,-7955,https://linkedin.com/company/company_42,First307,Last955,CEO,https://linkedin.com/in/first307last955,-9391,first307.last955@company_42.com,Ad Campaign,1
Company_43,www.company_43.com,Education,Software,B2B,27,72293785,1959,B,857 Main St,City_69,NY,-9489,https://linkedin.com/company/company_43,First279,Last289,Marketing Director,https://linkedin.com/in/first279last289,-5107,first279.last289@company_43.com,Ad Campaign,0
Company_44,www.company_44.com,Retail,Medical Equipment,B2B,1020,10595300,1953,A,115 Main St,City_24,TX,-8595,https://linkedin.com/company/company_44,First518,Last501,Founder,https://linkedin.com/in/first518last501,-4211,first518.last501@company_44.com,Referral,0
Company_45,www.company_45.com,Technology,Consumer Goods,B2C,1703,78647323,1982,B,790 Main St,City_43,CA,-10080,https://linkedin.com/company/company_45,First4,Last342,CTO,https://linkedin.com/in/first4last342,-6104,first4.last342@company_45.com,Website,1
Company_46,www.company_46.com,Education,Consulting,B2C,289,29569068,1961,A,706 Main St,City_46,IL,-11293,https://linkedin.com/company/company_46,First575,Last10,CEO,https://linkedin.com/in/first575last10,-10926,first575.last10@company_46.com,Referral,1
Company_47,www.company_47.com,Retail,Consulting,B2B,974,8554561,1956,B,295 Main St,City_58,FL,-2736,https://linkedin.com/company/company_47,First566,Last152,VP Sales,https://linkedin.com/in/first566last152,-2721,first566.last152@company_47.com,Ad Campaign,0
Company_48,www.company_48.com,Technology,Medical Equipment,B2C,765,71919939,1959,C,968 Main St,City_73,CA,-3250,https://linkedin.com/company/company_48,First921,Last367,CTO,https://linkedin.com/in/first921last367,-8647,first921.last367@company_48.com,Website,0
Company_49,www.company_49.com,Healthcare,Consumer Goods,B2B,41,85341611,2004,A+,624 Main St,City_23,FL,-7249,https://linkedin.com/company/company_49,First906,Last896,VP Sales,https://linkedin.com/in/first906last896,-11055,first906.last896@company_49.com,Webinar,0
Company_50,www.company_50.com,Retail,Consulting,B2B,1370,70473772,2008,C,118 Main St,City_49,NY,-9605,https://linkedin.com/company/company_50,First903,Last423,CEO,https://linkedin.com/in/first903last423,-4040,first903.last423@company_50.com,Ad Campaign,0
Company_51,www.company_51.com,Retail,Medical Equipment,B2C,739,56394783,2001,B,950 Main St,City_16,NY,-9417,https://linkedin.com/company/company_51,First274,Last164,CEO,https://linkedin.com/in/first274last164,-7206,first274.last164@company_51.com,LinkedIn,0
Company_52,www.company_52.com,Technology,Online Courses,B2B,1179,297775,2006,A+,138 Main St,City_53,IL,-7966,https://linkedin.com/company/company_52,First359,Last313,CTO,https://linkedin.com/in/first359last313,-9384,first359.last313@company_52.com,Ad Campaign,0
Company_53,www.company_53.com,Technology,Consumer Goods,B2B,239,78833130,1967,A+,850 Main St,City_76,TX,-2233,https://linkedin.com/company/company_53,First886,Last72,Founder,https://linkedin.com/in/first886last72,-3484,first886.last72@company_53.com,Cold Email,0
Company_54,www.company_54.com,Retail,Financial Services,B2C,1196,44179273,1958,A,894 Main St,City_66,FL,-7284,https://linkedin.com/company/company_54,First340,Last962,CEO,https://linkedin.com/in/first340last962,-3549,first340.last962@company_54.com,Referral,0
Company_55,www.company_55.com,Education,Consulting,B2C,515,6300646,1994,A+,231 Main St,City_36,FL,-5005,https://linkedin.com/company/company_55,First445,Last354,Founder,https://linkedin.com/in/first445last354,-5352,first445.last354@company_55.com,LinkedIn,0
Company_56,www.company_56.com,Manufacturing,Financial Services,B2B,95,548345,1968,A+,138 Main St,City_67,FL,-6872,https://linkedin.com/company/company_56,First195,Last261,CEO,https://linkedin.com/in/first195last261,-8674,first195.last261@company_56.com,Website,0
Company_57,www.company_57.com,Finance,Software,B2B,899,89730668,2011,A+,604 Main St,City_63,CA,-9650,https://linkedin.com/company/company_57,First972,Last681,Founder,https://linkedin.com/in/first972last681,-2271,first972.last681@company_57.com,Webinar,0
Company_58,www.company_58.com,Education,Consumer Goods,B2B,689,4948287,1994,B,928 Main St,City_47,TX,-6774,https://linkedin.com/company/company_58,First520,Last317,VP Sales,https://linkedin.com/in/first520last317,-8290,first520.last317@company_58.com,Cold Email,0
Company_59,www.company_59.com,Finance,Consumer Goods,B2C,1554,56982318,1980,A,612 Main St,City_54,NY,-5045,https://linkedin.com/company/company_59,First431,Last681,VP Sales,https://linkedin.com/in/first431last681,-3033,first431.last681@company_59.com,Website,0
Company_60,www.company_60.com,Retail,Consulting,B2C,972,83945477,1973,A,767 Main St,City_8,CA,-8486,https://linkedin.com/company/company_60,First312,Last294,CTO,https://linkedin.com/in/first312last294,-4680,first312.last294@company_60.com,LinkedIn,1
Company_61,www.company_61.com,Manufacturing,Financial Services,B2C,544,65532283,1990,A,839 Main St,City_64,IL,-7164,https://linkedin.com/company/company_61,First692,Last219,Marketing Director,https://linkedin.com/in/first692last219,-5161,first692.last219@company_61.com,LinkedIn,1
Company_62,www.company_62.com,Retail,Consulting,B2B,913,20188365,1984,A+,352 Main St,City_6,FL,-2929,https://linkedin.com/company/company_62,First344,Last96,CTO,https://linkedin.com/in/first344last96,-2730,first344.last96@company_62.com,Website,0
Company_63,www.company_63.com,Education,Consulting,B2B,1270,87450522,1954,A+,218 Main St,City_33,CA,-3829,https://linkedin.com/company/company_63,First251,Last487,Marketing Director,https://linkedin.com/in/first251last487,-9109,first251.last487@company_63.com,Referral,1
Company_64,www.company_64.com,Finance,Online Courses,B2B,1882,71672282,1976,B,788 Main St,City_77,IL,-9178,https://linkedin.com/company/company_64,First507,Last410,CTO,https://linkedin.com/in/first507last410,-2497,first507.last410@company_64.com,Ad Campaign,1
Company_65,www.company_65.com,Retail,Consumer Goods,B2B,522,18200699,2018,C,962 Main St,City_5,CA,-4298,https://linkedin.com/company/company_65,First798,Last436,CTO,https://linkedin.com/in/first798last436,-6594,first798.last436@company_65.com,Ad Campaign,0
Company_66,www.company_66.com,Retail,Financial Services,B2C,1173,96027380,1950,A+,150 Main St,City_45,NY,-8251,https://linkedin.com/company/company_66,First940,Last869,CEO,https://linkedin.com/in/first940last869,-5946,first940.last869@company_66.com,LinkedIn,1
Company_67,www.company_67.com,Healthcare,Online Courses,B2C,1579,65912633,1983,D,537 Main St,City_3,IL,-6757,https://linkedin.com/company/company_67,First628,Last835,Marketing Director,https://linkedin.com/in/first628last835,-10067,first628.last835@company_67.com,LinkedIn,1
Company_68,www.company_68.com,Manufacturing,Online Courses,B2B,767,38820111,1996,B,306 Main St,City_85,IL,-6380,https://linkedin.com/company/company_68,First461,Last266,CTO,https://linkedin.com/in/first461last266,-8603,first461.last266@company_68.com,Website,0
Company_69,www.company_69.com,Education,Financial Services,B2C,102,50111985,1979,A,434 Main St,City_91,TX,-3410,https://linkedin.com/company/company_69,First451,Last80,Founder,https://linkedin.com/in/first451last80,-9260,first451.last80@company_69.com,Ad Campaign,0
Company_70,www.company_70.com,Education,Medical Equipment,B2C,1024,71866557,2000,C,180 Main St,City_5,CA,-8459,https://linkedin.com/company/company_70,First142,Last155,CTO,https://linkedin.com/in/first142last155,-4760,first142.last155@company_70.com,LinkedIn,1
Company_71,www.company_71.com,Retail,Consulting,B2B,988,62854884,1983,A+,873 Main St,City_53,IL,-8121,https://linkedin.com/company/company_71,First339,Last556,VP Sales,https://linkedin.com/in/first339last556,-3893,first339.last556@company_71.com,LinkedIn,0
Company_72,www.company_72.com,Technology,Consulting,B2C,1691,13181782,1965,A+,619 Main St,City_4,FL,-10725,https://linkedin.com/company/company_72,First969,Last713,CEO,https://linkedin.com/in/first969last713,-5522,first969.last713@company_72.com,Webinar,1
Company_73,www.company_73.com,Finance,Online Courses,B2B,676,69119569,2010,C,733 Main St,City_51,TX,-7513,https://linkedin.com/company/company_73,First772,Last400,VP Sales,https://linkedin.com/in/first772last400,-7044,first772.last400@company_73.com,Webinar,1
Company_74,www.company_74.com,Retail,Consumer Goods,B2B,1433,75112933,1950,A,744 Main St,City_12,TX,-4182,https://linkedin.com/company/company_74,First447,Last498,CEO,https://linkedin.com/in/first447last498,-9245,first447.last498@company_74.com,LinkedIn,1
Company_75,www.company_75.com,Education,Consumer Goods,B2C,51,12557080,2005,B,449 Main St,City_63,IL,-6250,https://linkedin.com/company/company_75,First942,Last131,Marketing Director,https://linkedin.com/in/first942last131,-3303,first942.last131@company_75.com,Webinar,0
Company_76,www.company_76.com,Technology,Online Courses,B2B,307,76515031,1963,A+,573 Main St,City_28,IL,-1855,https://linkedin.com/company/company_76,First139,Last888,VP Sales,https://linkedin.com/in/first139last888,-7515,first139.last888@company_76.com,Ad Campaign,0
Company_77,www.company_77.com,Technology,Medical Equipment,B2C,923,50254221,1967,A+,605 Main St,City_38,IL,-5905,https://linkedin.com/company/company_77,First335,Last346,VP Sales,https://linkedin.com/in/first335last346,-10925,first335.last346@company_77.com,Cold Email,0
Company_78,www.company_78.com,Finance,Medical Equipment,B2B,1301,64513145,1993,A,636 Main St,City_17,FL,-8102,https://linkedin.com/company/company_78,First54,Last975,Founder,https://linkedin.com/in/first54last975,-10429,first54.last975@company_78.com,Ad Campaign,0
Company_79,www.company_79.com,Retail,Software,B2B,1174,93298563,1983,B,722 Main St,City_8,NY,-9052,https://linkedin.com/company/company_79,First205,Last860,CEO,https://linkedin.com/in/first205last860,-4915,first205.last860@company_79.com,Webinar,0
Company_80,www.company_80.com,Healthcare,Consulting,B2B,1766,53128791,2008,A,976 Main St,City_70,CA,-3775,https://linkedin.com/company/company_80,First578,Last971,CTO,https://linkedin.com/in/first578last971,-3869,first578.last971@company_80.com,LinkedIn,1
Company_81,www.company_81.com,Retail,Medical Equipment,B2C,628,19132579,2011,A+,929 Main St,City_94,FL,-10902,https://linkedin.com/company/company_81,First987,Last766,CEO,https://linkedin.com/in/first987last766,-6104,first987.last766@company_81.com,Ad Campaign,0
Company_82,www.company_82.com,Education,Software,B2B,1251,92915365,2015,C,567 Main St,City_92,FL,-7242,https://linkedin.com/company/company_82,First694,Last930,VP Sales,https://linkedin.com/in/first694last930,-4512,first694.last930@company_82.com,LinkedIn,0
Company_83,www.company_83.com,Retail,Consulting,B2B,578,99425368,2015,A,946 Main St,City_75,NY,-7931,https://linkedin.com/company/company_83,First105,Last714,Founder,https://linkedin.com/in/first105last714,-8611,first105.last714@company_83.com,Website,0
Company_84,www.company_84.com,Manufacturing,Software,B2B,840,82505138,1969,A+,212 Main St,City_12,IL,-7990,https://linkedin.com/company/company_84,First678,Last380,CEO,https://linkedin.com/in/first678last380,-3999,first678.last380@company_84.com,Webinar,1
Company_85,www.company_85.com,Retail,Medical Equipment,B2B,1539,53315075,1952,B,772 Main St,City_6,IL,-2157,https://linkedin.com/company/company_85,First109,Last444,Founder,https://linkedin.com/in/first109last444,-9060,first109.last444@company_85.com,Website,1
Company_86,www.company_86.com,Finance,Consumer Goods,B2B,1670,20031456,2012,A,712 Main St,City_73,FL,-4753,https://linkedin.com/company/company_86,First989,Last667,Founder,https://linkedin.com/in/first989last667,-10150,first989.last667@company_86.com,Webinar,0
Company_87,www.company_87.com,Manufacturing,Online Courses,B2C,1984,9842257,1958,A,687 Main St,City_99,FL,-7672,https://linkedin.com/company/company_87,First275,Last331,CTO,https://linkedin.com/in/first275last331,-8040,first275.last331@company_87.com,Referral,0
Company_88,www.company_88.com,Education,Online Courses,B2B,1807,60303880,1963,B,927 Main St,City_30,FL,-5111,https://linkedin.com/company/company_88,First625,Last685,VP Sales,https://linkedin.com/in/first625last685,-9231,first625.last685@company_88.com,Cold Email,0
Company_89,www.company_89.com,Technology,Online Courses,B2C,605,9551244,1991,A+,188 Main St,City_18,NY,-9276,https://linkedin.com/company/company_89,First364,Last817,Founder,https://linkedin.com/in/first364last817,-9090,first364.last817@company_89.com,Cold Email,0
Company_90,www.company_90.com,Education,Financial Services,B2C,579,11783982,1974,A,244 Main St,City_97,FL,-6208,https://linkedin.com/company/company_90,First971,Last196,CEO,https://linkedin.com/in/first971last196,-3310,first971.last196@company_90.com,Ad Campaign,1
Company_91,www.company_91.com,Retail,Online Courses,B2C,583,11730982,2000,A,653 Main St,City_64,NY,-7454,https://linkedin.com/company/company_91,First708,Last488,VP Sales,https://linkedin.com/in/first708last488,-10824,first708.last488@company_91.com,LinkedIn,0
Company_92,www.company_92.com,Technology,Software,B2C,424,10421336,1976,A+,388 Main St,City_68,NY,-7241,https://linkedin.com/company/company_92,First314,Last680,Marketing Director,https://linkedin.com/in/first314last680,-8702,first314.last680@company_92.com,Cold Email,1
Company_93,www.company_93.com,Finance,Financial Services,B2C,232,83852812,2001,A,795 Main St,City_15,FL,-4373,https://linkedin.com/company/company_93,First339,Last361,VP Sales,https://linkedin.com/in/first339last361,-6951,first339.last361@company_93.com,Cold Email,1
Company_94,www.company_94.com,Education,Medical Equipment,B2B,631,27795858,1985,A+,391 Main St,City_26,NY,-4407,https://linkedin.com/company/company_94,First324,Last123,Marketing Director,https://linkedin.com/in/first324last123,-8034,first324.last123@company_94.com,Website,0
Company_95,www.company_95.com,Healthcare,Consulting,B2B,306,91154442,1961,B,317 Main St,City_13,TX,-3007,https://linkedin.com/company/company_95,First742,Last604,Marketing Director,https://linkedin.com/in/first742last604,-3263,first742.last604@company_95.com,Webinar,0
Company_96,www.company_96.com,Education,Software,B2B,1008,11409411,2017,A+,232 Main St,City_37,TX,-5341,https://linkedin.com/company/company_96,First184,Last310,CEO,https://linkedin.com/in/first184last310,-8624,first184.last310@company_96.com,Website,1
Company_97,www.company_97.com,Manufacturing,Consulting,B2C,1057,45184109,1989,A+,396 Main St,City_86,CA,-4175,https://linkedin.com/company/company_97,First567,Last300,CTO,https://linkedin.com/in/first567last300,-6100,first567.last300@company_97.com,Website,1
Company_98,www.company_98.com,Finance,Software,B2B,424,62771672,1950,A,930 Main St,City_54,IL,-7166,https://linkedin.com/company/company_98,First491,Last452,Founder,https://linkedin.com/in/first491last452,-9401,first491.last452@company_98.com,Ad Campaign,0
Company_99,www.company_99.com,Technology,Medical Equipment,B2C,206,92886099,2006,A+,216 Main St,City_26,CA,-3111,https://linkedin.com/company/company_99,First411,Last504,CEO,https://linkedin.com/in/first411last504,-9847,first411.last504@company_99.com,Webinar,1
Company_100,www.company_100.com,Retail,Consumer Goods,B2B,1238,52013178,1983,A+,446 Main St,City_17,FL,-3918,https://linkedin.com/company/company_100,First972,Last312,CEO,https://linkedin.com/in/first972last312,-3876,first972.last312@company_100.com,Ad Campaign,1
Company_101,www.company_101.com,Technology,Financial Services,B2C,1529,37019127,1982,A,276 Main St,City_29,FL,-4635,https://linkedin.com/company/company_101,First232,Last795,Marketing Director,https://linkedin.com/in/first232last795,-7823,first232.last795@company_101.com,LinkedIn,0
Company_102,www.company_102.com,Finance,Online Courses,B2C,853,92394504,1998,C,247 Main St,City_86,IL,-8440,https://linkedin.com/company/company_102,First313,Last583,Marketing Director,https://linkedin.com/in/first313last583,-4052,first313.last583@company_102.com,Referral,1
Company_103,www.company_103.com,Manufacturing,Consumer Goods,B2B,219,88313938,2005,C,822 Main St,City_62,NY,-6423,https://linkedin.com/company/company_103,First641,Last217,Founder,https://linkedin.com/in/first641last217,-9271,first641.last217@company_103.com,Website,0
Company_104,www.company_104.com,Technology,Consulting,B2B,22,55052704,1996,A+,293 Main St,City_92,CA,-7221,https://linkedin.com/company/company_104,First161,Last3,VP Sales,https://linkedin.com/in/first161last3,-8688,first161.last3@company_104.com,LinkedIn,1
Company_105,www.company_105.com,Retail,Financial Services,B2C,59,37103110,1952,A+,899 Main St,City_10,NY,-8838,https://linkedin.com/company/company_105,First296,Last724,Founder,https://linkedin.com/in/first296last724,-1718,first296.last724@company_105.com,Website,1
Company_106,www.company_106.com,Finance,Software,B2B,1206,99931174,1957,C,932 Main St,City_57,FL,-11310,https://linkedin.com/company/company_106,First678,Last824,CTO,https://linkedin.com/in/first678last824,-5322,first678.last824@company_106.com,LinkedIn,0
Company_107,www.company_107.com,Technology,Financial Services,B2B,1079,83563150,1957,A,517 Main St,City_35,TX,-3919,https://linkedin.com/company/company_107,First847,Last146,CEO,https://linkedin.com/in/first847last146,-10505,first847.last146@company_107.com,Referral,1
Company_108,www.company_108.com,Healthcare,Medical Equipment,B2C,914,51200382,2004,A,106 Main St,City_74,IL,-4843,https://linkedin.com/company/company_108,First706,Last312,VP Sales,https://linkedin.com/in/first706last312,-5124,first706.last312@company_108.com,Cold Email,1
Company_109,www.company_109.com,Manufacturing,Financial Services,B2C,1576,77089724,2009,A,181 Main St,City_2,FL,-9761,https://linkedin.com/company/company_109,First41,Last911,VP Sales,https://linkedin.com/in/first41last911,-3875,first41.last911@company_109.com,Website,1
Company_110,www.company_110.com,Education,Financial Services,B2C,1147,77682731,1969,A+,360 Main St,City_37,NY,-9270,https://linkedin.com/company/company_110,First985,Last691,Marketing Director,https://linkedin.com/in/first985last691,-3951,first985.last691@company_110.com,Webinar,1
Company_111,www.company_111.com,Technology,Consumer Goods,B2C,718,14172989,2008,A,826 Main St,City_96,NY,-5986,https://linkedin.com/company/company_111,First482,Last532,VP Sales,https://linkedin.com/in/first482last532,-4531,first482.last532@company_111.com,Cold Email,0
Company_112,www.company_112.com,Healthcare,Financial Services,B2C,1309,33977350,1971,A,334 Main St,City_4,IL,-11301,https://linkedin.com/company/company_112,First993,Last94,VP Sales,https://linkedin.com/in/first993last94,-7585,first993.last94@company_112.com,Cold Email,0
